Round,Prompt,Score
1,Classify text as positive or negative: Be concise.,1.0
1,Classify text as positive or negative: Explain step by step.,1.0
1,Identify text as positive or negative:,1.0
2,Classify text as positive or negative: Be concise. Be concise.,1.0
2,Classify text as positive or negative: Be concise. Explain step by step.,1.0
2,Identify text as positive or negative: Be concise.,1.0
2,Classify text as positive or negative: Explain step by step. Be concise.,1.0
2,Classify text as positive or negative: Explain step by step. Explain step by step.,1.0
2,Identify text as positive or negative: Explain step by step.,1.0
2,Identify text as positive or negative: Be concise.,1.0
2,Identify text as positive or negative: Explain step by step.,1.0
2,Identify text as positive or negative:,1.0
3,Classify text as positive or negative: Be concise. Be concise. Be concise.,1.0
3,Classify text as positive or negative: Be concise. Be concise. Explain step by step.,1.0
3,Identify text as positive or negative: Be concise. Be concise.,1.0
3,Classify text as positive or negative: Be concise. Explain step by step. Be concise.,1.0
3,Classify text as positive or negative: Be concise. Explain step by step. Explain step by step.,1.0
3,Identify text as positive or negative: Be concise. Explain step by step.,1.0
3,Identify text as positive or negative: Be concise. Be concise.,1.0
3,Identify text as positive or negative: Be concise. Explain step by step.,1.0
3,Identify text as positive or negative: Be concise.,1.0
3,Classify text as positive or negative: Explain step by step. Be concise. Be concise.,1.0
3,Classify text as positive or negative: Explain step by step. Be concise. Explain step by step.,1.0
3,Identify text as positive or negative: Explain step by step. Be concise.,1.0
3,Classify text as positive or negative: Explain step by step. Explain step by step. Be concise.,1.0
3,Classify text as positive or negative: Explain step by step. Explain step by step. Explain step by step.,1.0
3,Identify text as positive or negative: Explain step by step. Explain step by step.,1.0
